"N° d'inventaire","Libellé 1 (Ph.)","Libellé 2 (Ph.)","Date créat. (Ph.)","Date inventaire","Date ctrl inventaire","Code barre","Etab. (Ph.)","Site (Ph.)","Niveau (Ph.)","Sect. ana. (Ph.)","Date d'acquisition","Montant H.T.","Marque","Fournisseur","Compte (Ph.)","Rapproché","Valide (Ph.)","Sortie (Ph.)","Code budget","Demande engagement","N° de commande",""
"200012152104","SPECTROMETRE MICRONIR "," FONDIS ELECTRONIC","4/14/2017","","","","20800","","","290404","4/14/2017","12,990.00",""," FONDIS ELECTRONIC","215410","Oui","Non","Non","9000020514","NABENEZAS","RU11728576","Terrain"
"200012152166","SPECTROPHOTOPEMETRE SPECTROVIS"," CALIBRATION","8/21/2017","","","","12204","","","210881","8/21/2017","1,165.00",""," CALIBRATION","215410","Oui","Non","Non","9000020709","A BRAUMAN","B001754764",""
"200012152321","SPECTROMETRE ASD LABSPEC 4"," LDR SERVICES","12/1/2017","","","","12204","","","214632","12/1/2017","18,333.33",""," LDR SERVICES","215410","Oui","Non","Non","9000020897","AGAP PPB","A1759990","portable "
"200012152322","SPECTROMETRE SPECTRUM TWO FT-IR"," PERKIN","12/1/2017","","","","12204","LAVALETTE","01133","214632","12/1/2017","17,373.94","SPECTRUM TWO"," PERKIN","215410","Oui","Non","Non","9000021005","D LUQUET","7001760305",""
"200012152589","SPECTROPHOTOMETRE SPECTROVIS","CALIBRATION ","10/18/2018","","","","12204906","","","210808","10/18/2018","2,513.33","","CALIBRATION","215410","Oui","Non","Non","9000021685","A BLAUMAN","B001860404",""
"200012152815","SPECTROMETRE MICRONIR"," FONDIS","5/2/2019","","","","12204","","","212717","5/2/2019","19,880.00",""," FONDIS","215410","Oui","Non","Non","9000022023","D HOLMIERE","D751911919","Terrain "
"200012152825","SPECTROMETRE MICRONIR"," FONDIS","5/2/2019","","","","12204","","","212717","5/2/2019","19,880.00",""," FONDIS","215410","Oui","Non","Non","9000022022","D HOLMIERE","D751911919","Terrain"
"200012152826","SPECTROMETRE LI-180 SPC-209","020-ACHX9009905 LI-COR","6/7/2019","","","","12204","LAVALETTE","","212717","","","","","215410","Oui","Non","Non","","","D751912136"," Light Measurement   Solutions  for     Greenhouse  Management"
"200012152968","SPECTROPHOTOMETRE V-730ST","020-ACHX9011376 JASCO FRANCE","7/1/2019","","","","12204","","","212717","","","","","215410","Oui","Non","Non","","","",""
"200012152986","SPECTROPHOTOMETRE MULTISKAN SKY","020-ACHX9021805 LABO SERVICES","12/1/2019","","","","12204906","","","210881","","","","","215410","Oui","Non","Non","","","",""
